Time,Signal
1.00,14.79
2.00,10.24
3.00,9.48
4.00,10.62
5.00,14.41
6.00,10.24
7.00,8.72
8.00,11.00
9.00,10.62
10.00,8.72
11.00,7.96
12.00,6.44
13.00,7.58
14.00,7.96
15.00,6.82
16.00,6.44
17.00,6.82
18.00,6.44
19.00,7.20
20.00,6.82
21.00,9.48
22.00,11.00
23.00,9.86
24.00,11.00
25.00,11.00
26.00,9.48
27.00,7.96
28.00,8.72
29.00,9.10
30.00,11.00
31.00,9.48
32.00,9.48
33.00,9.10
34.00,9.10
35.00,10.62
36.00,10.24
37.00,11.38
38.00,11.00
39.00,10.62
40.00,9.10
41.00,10.62
42.00,10.62
43.00,9.86
44.00,10.24
45.00,10.62
46.00,10.24
47.00,11.00
48.00,8.34
49.00,7.96
50.00,6.44
51.00,7.96
52.00,8.72
53.00,7.58
54.00,6.82
55.00,6.82
56.00,5.30
57.00,4.92
58.00,4.92
59.00,5.30
60.00,8.34
61.00,5.30
62.00,6.44
63.00,7.96
64.00,6.06
65.00,9.48
66.00,5.68
67.00,4.54
68.00,5.30
69.00,4.17
70.00,6.44
71.00,6.44
72.00,6.82
73.00,6.82
74.00,8.72
75.00,6.44
76.00,7.58
77.00,6.82
78.00,7.20
79.00,6.82
80.00,5.68
81.00,4.54
82.00,4.54
83.00,6.06
84.00,7.58
85.00,7.58
86.00,8.72
87.00,9.86
88.00,9.86
89.00,9.10
90.00,7.20
91.00,6.44
92.00,5.30
93.00,5.30
94.00,7.20
95.00,10.24
96.00,9.10
97.00,4.92
98.00,4.92
99.00,6.82
100.00,6.82
101.00,4.54
102.00,4.54
103.00,6.44
104.00,6.82
105.00,7.96
106.00,8.34
107.00,5.30
108.00,5.68
109.00,4.92
110.00,3.41
111.00,2.65
112.00,3.03
113.00,5.30
114.00,3.41
115.00,5.30
116.00,4.54
117.00,4.54
118.00,3.79
119.00,3.41
120.00,3.41
121.00,3.03
122.00,4.17
123.00,4.92
124.00,4.17
125.00,3.79
126.00,4.54
127.00,3.41
128.00,4.92
129.00,6.44
130.00,5.30
131.00,6.44
132.00,6.82
133.00,5.30
134.00,6.44
135.00,7.20
136.00,9.10
137.00,9.86
138.00,9.10
139.00,8.34
140.00,8.72
141.00,7.96
142.00,7.96
143.00,7.96
144.00,9.10
145.00,9.10
146.00,9.10
147.00,9.86
148.00,10.62
149.00,8.72
150.00,7.96
151.00,7.20
152.00,7.20
153.00,7.20
154.00,7.58
155.00,8.34
156.00,8.72
157.00,7.96
158.00,7.20
159.00,7.58
160.00,6.82
161.00,8.34
162.00,7.96
163.00,7.58
164.00,8.72
165.00,8.34
166.00,7.20
167.00,7.20
168.00,7.20
169.00,6.82
170.00,7.20
171.00,6.82
172.00,5.68
173.00,4.92
174.00,4.54
175.00,5.30
176.00,6.44
177.00,5.68
178.00,6.82
179.00,6.44
180.00,5.30
181.00,5.30
182.00,6.44
183.00,4.92
184.00,5.30
185.00,6.44
186.00,5.30
187.00,4.92
188.00,4.54
189.00,4.54
190.00,4.92
191.00,5.68
192.00,6.44
193.00,6.06
194.00,4.17
195.00,5.68
196.00,7.96
197.00,4.92
198.00,6.06
199.00,5.68
200.00,9.10
201.00,9.86
202.00,7.58
203.00,5.68
204.00,6.44
205.00,8.72
206.00,7.96
207.00,8.34
208.00,7.96
209.00,8.72
210.00,6.82
211.00,5.68
212.00,4.54
213.00,5.30
214.00,6.44
215.00,6.44
216.00,8.34
217.00,9.10
218.00,9.10
219.00,7.96
220.00,10.62
221.00,8.72
222.00,8.72
223.00,10.24
224.00,8.72
225.00,7.20
226.00,7.20
227.00,6.06
228.00,7.58
229.00,9.86
230.00,10.62
231.00,9.86
232.00,10.24
233.00,10.62
234.00,8.72
235.00,9.10
236.00,9.48
237.00,9.10
238.00,9.48
239.00,7.96
240.00,7.96
241.00,6.06
242.00,4.92
243.00,4.17
244.00,4.17
245.00,3.79
246.00,1.13
247.00,2.27
248.00,4.17
249.00,4.17
250.00,3.41
251.00,2.65
252.00,2.27
253.00,5.30
254.00,4.54
255.00,3.79
256.00,3.79
257.00,6.44
258.00,3.79
259.00,3.41
260.00,3.03
261.00,4.17
262.00,3.79
263.00,2.65
264.00,3.03
265.00,4.17
266.00,4.17
267.00,4.54
268.00,4.54
269.00,5.30
270.00,4.17
271.00,5.30
272.00,4.92
273.00,5.30
274.00,5.68
275.00,4.92
276.00,6.44
277.00,6.44
278.00,6.82
279.00,5.30
280.00,7.96
281.00,8.34
282.00,8.34
283.00,8.34
284.00,9.48
285.00,11.76
286.00,10.24
287.00,10.24
288.00,9.86
289.00,11.38
290.00,10.62
291.00,10.24
292.00,9.86
293.00,9.86
294.00,9.48
295.00,9.48
296.00,11.00
297.00,9.48
298.00,11.00
299.00,11.00
300.00,12.13
301.00,11.00
302.00,10.24
303.00,9.86
304.00,10.62
305.00,9.86
306.00,9.48
307.00,9.10
308.00,7.58
309.00,9.10
310.00,8.72
311.00,8.34
312.00,9.48
313.00,10.24
314.00,8.72
315.00,7.20
316.00,7.96
317.00,6.44
318.00,7.96
319.00,7.20
320.00,7.20
321.00,7.20
322.00,6.44
323.00,7.58
324.00,6.82
325.00,5.68
326.00,7.20
327.00,7.20
328.00,6.44
329.00,8.34
330.00,7.58
331.00,7.96
332.00,5.30
333.00,4.92
334.00,4.54
335.00,5.30
336.00,5.68
337.00,2.65
338.00,4.92
339.00,3.79
340.00,4.17
341.00,4.17
342.00,4.54
343.00,5.30
344.00,4.92
345.00,3.03
346.00,3.03
347.00,4.92
348.00,4.54
349.00,4.17
350.00,5.30
351.00,4.17
352.00,3.41
353.00,2.65
354.00,2.27
355.00,2.65
356.00,2.65
357.00,1.89
358.00,3.03
359.00,3.41
360.00,2.27
361.00,2.27
362.00,2.65
363.00,2.27
364.00,3.79
365.00,3.79
366.00,2.65
367.00,3.41
368.00,2.27
369.00,3.41
370.00,2.65
371.00,3.03
372.00,3.03
373.00,2.27
374.00,1.89
375.00,3.03
376.00,1.51
377.00,2.27
378.00,2.27
379.00,2.27
380.00,1.51
381.00,1.51
382.00,1.13
383.00,1.51
384.00,1.51
385.00,1.13
386.00,0.37
387.00,1.13
388.00,1.13
389.00,0.37
390.00,0.37
391.00,0.37
392.00,0.37
393.00,1.89
394.00,1.89
395.00,1.89
396.00,2.27
397.00,2.65
398.00,3.03
399.00,1.89
400.00,2.27
401.00,1.89
402.00,1.89
403.00,2.27
404.00,1.89
405.00,1.89
406.00,1.51
407.00,3.03
408.00,2.65
409.00,1.89
410.00,1.89
411.00,2.27
412.00,1.89
413.00,2.27
414.00,3.03
415.00,4.17
416.00,3.79
417.00,4.17
418.00,3.79
