time,signal
1,7.5675
2,5.921666667
3,6.256666667
4,6.238333333
5,6.951666667
6,6.551666667
7,6.856666667
8,6.731666667
9,5.646666667
10,4.046666667
11,3.983333333
12,4.426666667
13,4.686666667
14,4.846666667
15,5.496666667
16,5.086666667
17,5.543333333
18,5.321666667
19,6.453333333
20,6.721666667
21,7.546666667
22,7.338333333
23,7.853333333
24,7.4
25,5.816666667
26,4.03
27,3.732
28,3
29,2.9
30,3.225
31,4.176666667
32,4.86
33,4.981666667
34,5.255
35,5.971666667
36,6.913333333
37,6.771666667
38,7.793333333
39,6.728333333
40,6.155
41,6.613333333
42,6.703333333
43,5.981666667
44,7.73
45,8.353333333
46,8.016666667
47,9.101666667
48,8.055
49,7.678333333
50,7.018333333
51,6.882
52,7.003333333
53,7.206666667
54,6.583333333
55,6.943333333
56,6.648333333
57,7.485
58,6.766666667
59,7.181666667
60,7.983333333
61,7.508333333
62,7.841666667
63,7.415
64,6.606666667
65,6.834
66,7.4
67,7.196666667
68,6.495
69,4.23
70,3.69
71,3.03
72,4.263333333
73,4.871666667
74,7.698333333
75,7.698
76,7.043333333
77,6.438333333
78,8.256666667
79,9.051666667
80,9.596666667
81,9.604
82,9.013333333
83,8.703333333
84,8.358333333
85,7.8475
86,7.163333333
87,6.825
88,6.788333333
89,6.48
90,6.43
91,6.22
92,6.578333333
93,6.321666667
94,5.295
95,4.571666667
96,2.77
97,3.795
98,3.756666667
99,3.943333333
100,3.768333333
101,2.655
102,4.07
103,4.936666667
104,4.933333333
105,6.261666667
106,7.056666667
107,9.17
108,10.465
109,11.155
110,11.29333333
111,10.33
112,9.058
113,7.476666667
114,6.111666667
115,6.68
116,9.984
117,9.586
118,9.27
119,7.448
120,8.806666667
121,8.181666667
122,7.106666667
123,6.895
124,8.883333333
125,9.161666667
126,10.295
127,9.995
128,9.33
129,9.484
130,9.258
131,9.53
132,11.286
133,8.965
134,8.246666667
135,8.626
136,10.9825
137,11.275
138,11.37
139,10.53
140,9.596666667
141,11.075
142,9.708333333
143,7.246666667
144,6.97
145,5.566666667
146,5.371666667
147,5.635
148,6.005
149,5.29
150,5.46
151,5.96
152,6.721666667
153,6.353333333
154,6.318333333
155,6.02
156,6.628333333
157,5.748333333
158,5.543333333
159,6.261666667
160,6.856666667
161,6.693333333
162,6.093333333
163,6.5
164,7.273333333
165,7.006666667
166,8.805
167,8.665
168,7.718333333
169,7.666666667
170,8.74
171,6.916666667
172,7.441666667
173,8.283333333
174,9.165
175,9.153333333
176,9.425
177,7.731666667
178,8.053333333
179,6.343333333
180,6.956666667
181,6.32
182,5.443333333
183,5.133333333
184,6.186666667
185,7.213333333
186,7.295
187,7.96
188,9.188333333
189,9.001666667
190,8.148333333
191,8.511666667
192,9.036666667
193,8.558333333
194,8.173333333
195,7.42
196,8.246666667
197,7.753333333
198,6.395
199,7.535
200,7.616666667
201,7.126666667
202,6.893333333
203,6.89
204,7.141666667
205,6.765
206,6.633333333
207,5.353333333
208,5.005
209,5.851666667
210,4.783333333
211,5.243333333
212,5.415
213,5.585
214,7.213333333
215,8.093333333
216,7.95
217,8.076666667
218,7.678
219,6.931666667
220,6.438333333
221,5.381666667
222,4.398333333
223,4.385
224,4.865
225,3.954
226,4.045
227,5.813333333
228,6.761666667
229,7.29
230,5.736666667
231,5.471666667
232,3.55
233,3.176666667
234,3.235
235,4.198
236,3.2925
237,4.105
238,3.216666667
239,3.17
240,3.973333333
241,3.116666667
242,4.6875
243,5.175
244,5.945
245,5.771666667
246,4.676666667
247,4.535
248,4.026666667
249,4.783333333
250,4.03
251,2.52
252,5.413333333
253,6.106666667
254,5.985
255,7.201666667
256,8.148333333
257,6.92
258,7.498333333
259,7.413333333
260,7.438333333
261,7.791666667
262,7.816666667
263,8.193333333
264,8.231666667
265,8.01
266,8.611666667
267,7.683333333
268,7.423333333
269,7.496666667
270,7.081666667
271,6.688333333
272,6.111666667
273,7.758333333
274,7.775
275,8
276,8.715
277,9.216666667
278,8.706666667
279,7.998333333
280,8.898333333
281,9.45
282,9.81
283,8.755
284,8.371666667
285,8.028
286,7.173333333
287,7.718333333
288,7.583333333
289,7.656666667
290,3.35
291,3.315
292,2.931666667
293,1.921666667
294,1.125
295,0.658333333
296,1.526666667
297,1.898333333
298,1.14
299,1.426666667
300,2.886
301,3.236666667
302,2.79
303,4.2
304,5.186666667
305,6.491666667
306,6.755
307,6.348333333
308,5.546666667
309,7.1325
310,9.03
311,9.89
312,12.938
313,11.635
314,10.7
315,12.3075
316,13.58333333
317,12.16333333
318,10.41
319,8.661666667
320,6.99
321,7.375
322,5.145
323,5.845
324,6.456666667
325,7.478333333
326,7.715
327,7.068333333
328,7.381666667
329,7.703333333
330,7.048
331,6.745
332,7.535
333,7.892
334,9.006666667
335,8.156666667
336,9.658333333
337,9.372
338,8.614
339,5.923333333
340,4.148333333
341,5.63
342,6.001666667
343,7.193333333
344,7.952
345,9.6125
346,8.98
347,7.29
348,6.52
349,6.878333333
350,5.313333333
351,4.52
352,5.113333333
353,6.14
354,7.635
355,7.563333333
356,6.706666667
357,7.024
358,7.234
359,7.025
360,8.256666667
361,10.13333333
362,7.63
363,7.528333333
364,6.411666667
365,6.651666667
366,7.133333333
367,7.261666667
368,6.453333333
369,5.795
370,6.166666667
371,5.773333333
372,3.605
373,3.16
374,4.385
375,4.168333333
376,3.9
377,3.4825
378,3.508333333
379,4.736666667
380,3.731666667
381,3.668333333
382,3.96
383,4.686666667
384,6.832
385,7.74
386,6.05
387,5.701666667
388,5.456666667
389,5.461666667
390,5.248333333
391,5.531666667
392,5.4
393,6.721666667
394,5.968333333
395,4.755
396,4.463333333
397,5.331666667
398,5.371666667
399,5.196
400,4.851666667
401,4.94
402,4.658333333
403,4.326666667
404,5.145
405,5.22
406,5.216666667
407,5.173333333
408,4.265
409,5.138333333
410,5.378333333
411,5.531666667
412,5.365
413,5.775
414,6.016666667
415,6.185
416,6.403333333
417,6.605
418,6.393333333
419,5.018333333
420,4.463333333
421,5.84
422,6.175
423,5.608333333
424,5.133333333
425,5.095
426,4.951666667
427,4.77
428,5.066666667
429,5.476666667
430,6.245
431,5.731666667
432,6.19
433,6.45
434,7.0175
435,7.485
436,6.816
437,6.564
438,7.695
439,8.35
440,7.6525
441,6.35
442,5.38
443,5.716666667
444,4.97
445,4.545
446,3.763333333
447,3.6625
448,3.14
449,3.823333333
450,4.31
451,5.108
452,8.835
453,8.17
454,7.2525
455,6.331666667
456,6.835
457,6.535
458,7.2275
459,7.57
460,8.255
461,7.4425
462,6.325
463,5.183333333
464,4.638333333
465,4.428333333
466,3.544
467,2.955
468,5.12
469,5.298333333
470,5.283333333
471,6.21
472,7.166666667
473,6.645
474,6.673333333
475,6.535
476,6.611666667
477,6.608333333
478,6.99
479,6.951666667
480,6.033333333
481,5.516666667
482,4.865
483,4.09
484,3.798333333
485,3.298
486,3.02
487,3.025
488,3.08
489,3.343333333
490,4.903333333
